Te(K),D*N(1/m-s)
124013.6166826857,8.002e+24
127494.97211045914,8.124e+24
131053.69099218314,8.249e+24
134767.13678180816,8.38e+24
138557.9460253837,8.517e+24
142503.4821768603,8.659e+24
146449.01832833685,8.808e+24
150626.644841665,8.963e+24
154804.2713549932,9.125e+24
159213.98823017286,9.292e+24
163701.06855930312,9.466e+24
168265.51234238388,9.647e+24
172984.68303336567,9.834e+24
177858.58063224852,1.003e+25
182887.20513903242,1.023e+25
187993.19309976682,1.044e+25
193331.2714223528,1.066e+25
198746.7131988893,1.088e+25
204316.8818833268,1.112e+25
210119.1409296159,1.136e+25
215998.76342985555,1.161e+25
222110.47629194672,1.187e+25
228299.55260798844,1.213e+25
234720.7192858817,1.241e+25
241373.97632562654,1.27e+25
248181.96027327242,1.299e+25
255144.67112881932,1.33e+25
262339.4723462178,1.361e+25
269689.0004715173,1.394e+25
277270.61895866843,1.427e+25
285084.3278076711,1.462e+25
293130.1270185253,1.498e+25
301330.6531372806,1.535e+25
309840.6330718379,1.573e+25
318505.33991429635,1.613e+25
327479.50057255675,1.654e+25
336685.7515926688,1.695e+25
346201.4564285829,1.739e+25
355949.2516263486,1.784e+25
365929.13718596584,1.83e+25
376218.4765613852,1.877e+25
386817.26975260663,1.927e+25
